model,original_epochs,regularized_epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
roberta,5,5,0.10453558676516461,0.3294354542575376,0.87636,0.876414928875477,0.87636,0.8763554892504166
roberta,10,5,0.196171952987952,0.2915153376700933,0.8884,0.8892036251543154,0.8884,0.8883423625061777
albert,5,5,0.08919942138425986,0.2758090628187179,0.8854,0.8864288901056396,0.8854,0.885323666845599
albert,10,5,0.10142434441753666,0.2639838059759125,0.89124,0.8918594740276486,0.89124,0.8911969994874342
distilbert,5,5,0.18014549623574594,0.3288086346943703,0.8592,0.8593855142274275,0.8592,0.8591818274711626
distilbert,10,5,0.17943418522358245,0.31991059990013804,0.86288,0.8631209589344394,0.86288,0.862857248785573
bert,5,5,0.10181087719471864,0.33834146543899,0.85216,0.8531089398802654,0.85216,0.8520606074516983
bert,10,5,0.12043339692418227,0.3314341290918229,0.85772,0.8578422068351932,0.85772,0.8577078514378569
electra_small_discriminator,5,5,0.07384702347485764,0.6287549327096671,0.62912,0.7117329191826939,0.62912,0.5890326945873102
electra_small_discriminator,10,5,0.09333270939681536,0.5863010048523278,0.67444,0.7196093334367557,0.67444,0.6567922225884174
t5,5,5,0.03062614562142345,0.5712699993415866,0.70488,0.7055098320654218,0.70488,0.7046537108713643
t5,10,5,0.03760916716835993,0.5531113728156785,0.72208,0.7227947455059923,0.72208,0.7218569230218587
