model,lambda_reg,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
roberta,0.75,1,0.0466626660323143,,,,,
roberta,0.75,2,0.0746219569015503,,,,,
roberta,0.75,3,0.13390260392189027,,,,,
roberta,0.75,4,0.1461004130268097,,,,,
roberta,0.75,5,0.2077367913389206,,,,,
roberta,0.75,final_test,,0.2600085366638264,0.89552,0.8859484777517564,0.90792,0.8967996839193995
roberta,1,1,0.18047917655706405,,,,,
roberta,1,2,0.28924587703704835,,,,,
roberta,1,3,0.34664792404413225,,,,,
roberta,1,4,0.6530733653080464,,,,,
roberta,1,5,0.4810463329899311,,,,,
roberta,1,final_test,,0.29351338605046084,0.88312,0.8578687789568077,0.9184,0.8871030059500812
roberta,2,1,0.5866887344110012,,,,,
roberta,2,2,0.9631985612082481,,,,,
roberta,2,3,1.6290342659497261,,,,,
roberta,2,4,1.6564530677986145,,,,,
roberta,2,5,1.410648580133915,,,,,
roberta,2,final_test,,0.47192995515697433,0.82868,0.7662842698813922,0.94584,0.8466468545239716
roberta,5,1,3.7576139173221588,,,,,
roberta,5,2,5.001785018377304,,,,,
roberta,5,3,5.349109913597107,,,,,
roberta,5,4,2.880547508764267,,,,,
roberta,5,5,3.8698188742828368,,,,,
roberta,5,final_test,,1.8212898503968498,0.56852,0.5368498042421375,0.99824,0.6982066418599446
roberta,10,1,3.2150475972366332,,,,,
roberta,10,2,7.609944549884796,,,,,
roberta,10,3,5.14092642829895,,,,,
roberta,10,4,3.766729364089966,,,,,
roberta,10,5,3.868322131214142,,,,,
roberta,10,final_test,,2.161597096371368,0.573,0.5394833629007831,0.99744,0.700233074050153
distilbert,0.75,1,0.07923788210868836,,,,,
distilbert,0.75,2,0.20802407178878785,,,,,
distilbert,0.75,3,0.34288634004831314,,,,,
distilbert,0.75,4,0.17217812066316604,,,,,
distilbert,0.75,5,0.1980522861981392,,,,,
distilbert,0.75,final_test,,0.33033932297507224,0.86104,0.8438214231296663,0.88608,0.8644345586513698
distilbert,1,1,0.2850692236828804,,,,,
distilbert,1,2,0.37844583486557004,,,,,
distilbert,1,3,0.3149919078660011,,,,,
distilbert,1,4,0.14674335384368897,,,,,
distilbert,1,5,0.13100476869106292,,,,,
distilbert,1,final_test,,0.34120728163616476,0.85804,0.8555652657503774,0.86152,0.8585323075696576
distilbert,2,1,-0.21249696024894715,,,,,
distilbert,2,2,0.06218943512916565,,,,,
distilbert,2,3,-0.0017979678678512574,,,,,
distilbert,2,4,0.006989603979587555,,,,,
distilbert,2,5,0.0679439274740219,,,,,
distilbert,2,final_test,,0.4010968158897179,0.83592,0.8097978456544194,0.87808,0.8425577646426653
distilbert,5,1,-0.8725071241426468,,,,,
distilbert,5,2,0.28009385862350467,,,,,
distilbert,5,3,0.40800110533714296,,,,,
distilbert,5,4,0.2038529280281067,,,,,
distilbert,5,5,0.4404460759615898,,,,,
distilbert,5,final_test,,0.955477988486306,0.70252,0.6365057967107037,0.94432,0.760444516025125
distilbert,10,1,0.6979292327547073,,,,,
distilbert,10,2,0.4241139304327965,,,,,
distilbert,10,3,4.603190520076752,,,,,
distilbert,10,4,3.6441430501413343,,,,,
distilbert,10,5,7.064955106282234,,,,,
distilbert,10,final_test,,1.2506985651953766,0.68636,0.6938181213079291,0.66712,0.6802071862637139
