model,lambda_reg,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
bert,0.75,1,0.11400101586461067,,,,,
bert,0.75,2,0.3274259612393379,,,,,
bert,0.75,3,0.4027321591544151,,,,,
bert,0.75,4,0.315906392185688,,,,,
bert,0.75,5,0.26541140836238863,,,,,
bert,0.75,final_test,,0.33703539262854054,0.85484,0.832421494416548,0.88856,0.8595751267267732
bert,1,1,0.20131719043016433,,,,,
bert,1,2,0.2679164288043976,,,,,
bert,1,3,0.18626537447452546,,,,,
bert,1,4,0.20967434982776642,,,,,
bert,1,5,0.3231062683391571,,,,,
bert,1,final_test,,0.4052302769637921,0.82044,0.7606559510639682,0.93512,0.838913410126673
bert,2,1,0.1708225386953354,,,,,
bert,2,2,0.2670035104560852,,,,,
bert,2,3,0.5944978683900833,,,,,
bert,2,4,-0.49369875230789184,,,,,
bert,2,5,0.24317992647886277,,,,,
bert,2,final_test,,0.587374875249774,0.75728,0.6845730027548209,0.95424,0.7972196230450475
bert,5,1,0.6212489257478714,,,,,
bert,5,2,-1.2114947469496726,,,,,
bert,5,3,0.8945255777359009,,,,,
bert,5,4,1.6519126492881775,,,,,
bert,5,5,-3.1858383347797394,,,,,
bert,5,final_test,,0.40123756030157787,0.86264,0.8887650085763293,0.82904,0.8578642384105961
bert,10,1,1.8178433142948152,,,,,
bert,10,2,5.393429519233703,,,,,
bert,10,3,2.6444306912612916,,,,,
bert,10,4,-0.44057629682540894,,,,,
bert,10,5,1.9845281669712067,,,,,
bert,10,final_test,,0.64610032662363,0.80136,0.827053307865949,0.76208,0.7932384045299358
albert,0.75,1,0.06508915382504463,,,,,
albert,0.75,2,0.17112863699793815,,,,,
albert,0.75,3,0.06190245125710964,,,,,
albert,0.75,4,0.14557177165150642,,,,,
albert,0.75,5,0.5166452130067348,,,,,
albert,0.75,final_test,,0.3764282900104758,0.81624,0.7468465093043587,0.9568,0.8388861611839799
albert,1,1,-0.05664777617573738,,,,,
albert,1,2,0.3539856419491768,,,,,
albert,1,3,-0.1475754443693161,,,,,
albert,1,4,0.3581171622800827,,,,,
albert,1,5,-0.03620634684562683,,,,,
albert,1,final_test,,0.23780060983790288,0.90496,0.9143067605172696,0.89368,0.9038757181001699
albert,2,1,-0.03637643260478973,,,,,
albert,2,2,-0.14221005032896997,,,,,
albert,2,3,0.6430216974258423,,,,,
albert,2,4,-0.9200875077557564,,,,,
albert,2,5,-0.012098106861114502,,,,,
albert,2,final_test,,0.3284917842048284,0.86064,0.8174200816786368,0.92872,0.86952288218111
albert,5,1,-0.037320751090049745,,,,,
albert,5,2,1.2987884330368042,,,,,
albert,5,3,0.21454762077331543,,,,,
albert,5,4,0.3003369223976135,,,,,
albert,5,5,0.10114889708518982,,,,,
albert,5,final_test,,0.9446802141159358,0.7358,0.6653205451792025,0.94896,0.7822216360578984
albert,10,1,5.704382334861755,,,,,
albert,10,2,1.9637872553825377,,,,,
albert,10,3,8.56595389213562,,,,,
albert,10,4,-7.602698099603653,,,,,
albert,10,5,0.33909605165481566,,,,,
albert,10,final_test,,2.072166587146493,0.59656,0.5536492132634012,0.99648,0.7118121035487742
