model,lambda_reg,epoch,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
deberta,0.01,1,0.5371276715430617,,,,,
deberta,0.01,2,0.469240144443959,,,,,
deberta,0.01,3,0.4671992330578715,,,,,
deberta,0.01,4,0.4575756242588535,,,,,
deberta,0.01,5,0.4555890065871924,,,,,
deberta,0.01,final_test,,0.35265715096712114,0.86768,0.886998989558774,0.84272,0.8642927469642271
deberta,0.05,1,0.45736959107235076,,,,,
deberta,0.05,2,0.4694154411551356,,,,,
deberta,0.05,3,0.446748372829631,,,,,
deberta,0.05,4,0.45230446980550887,,,,,
deberta,0.05,5,0.44012338987596333,,,,,
deberta,0.05,final_test,,0.34758668298989537,0.86904,0.836813668224299,0.91688,0.8750190868834936
deberta,0.1,1,0.42566531662896273,,,,,
deberta,0.1,2,0.5259259217092395,,,,,
deberta,0.1,3,0.45678986694231627,,,,,
deberta,0.1,4,0.4329809933935851,,,,,
deberta,0.1,5,0.4337779180850089,,,,,
deberta,0.1,final_test,,0.32402742879033086,0.87756,0.8768665655194442,0.87848,0.8776725412620389
deberta,0.25,1,0.4661119920963049,,,,,
deberta,0.25,2,0.3892134823563695,,,,,
deberta,0.25,3,0.4207624161443114,,,,,
deberta,0.25,4,0.4383399428015947,,,,,
deberta,0.25,5,0.45373820558473466,,,,,
deberta,0.25,final_test,,0.3243934640647471,0.87352,0.8858677685950413,0.85752,0.8714634146341463
deberta,0.5,1,0.5275978939175606,,,,,
deberta,0.5,2,0.5261711926059425,,,,,
deberta,0.5,3,0.46593412627726793,,,,,
deberta,0.5,4,1.119557226742655,,,,,
deberta,0.5,5,0.42293814335048197,,,,,
deberta,0.5,final_test,,0.3393698357731849,0.8616,0.8897895826146948,0.82544,0.8564077025232404
