model,epochs,optimizer,hidden_layers,learning_rate,train_loss
deberta,10,adamw,2_hidden,5e-05,0.2961005429412864
deberta,20,adamw,2_hidden,5e-05,0.2920485172831835
deberta,30,adamw,2_hidden,5e-05,0.2883558443540137
deberta,40,adamw,2_hidden,5e-05,0.28690348658794884
electra_small_discriminator,10,adamw,2_hidden,0.0001,0.3005987483391244
electra_small_discriminator,20,adamw,2_hidden,0.0001,0.2965577287893645
electra_small_discriminator,30,adamw,2_hidden,0.0001,0.29485931416829647
electra_small_discriminator,40,adamw,2_hidden,0.0001,0.29497566568830824
distilbert,10,adamw,1_hidden,0.00015,0.2069493092762802
distilbert,20,adamw,1_hidden,0.00015,0.20256068304905658
distilbert,30,adamw,1_hidden,0.00015,0.2008383506813627
distilbert,40,adamw,1_hidden,0.00015,0.19907333100627378
roberta,10,adamw,2_hidden,8e-05,0.2779875378775191
roberta,20,adamw,2_hidden,8e-05,0.27486075761956447
roberta,30,adamw,2_hidden,8e-05,0.2715023602614762
roberta,40,adamw,2_hidden,8e-05,0.2689888169022973
bert,10,adamw,2_hidden,0.0001,0.21966031604341826
bert,20,adamw,2_hidden,0.0001,0.21377407988999647
bert,30,adamw,2_hidden,0.0001,0.21230800738877062
bert,40,adamw,2_hidden,0.0001,0.2107571523442254
albert,10,adamw,2_hidden,0.0002,0.269762444001008
albert,20,adamw,2_hidden,0.0002,0.26322715308504874
albert,30,adamw,2_hidden,0.0002,0.26196100092483177
albert,40,adamw,2_hidden,0.0002,0.2613064382787865
