model,epochs,optimizer,hidden_layers,learning_rate,train_loss
deberta,10,adamw,2_hidden,5e-06,0.42825110157123436
deberta,20,adamw,2_hidden,5e-06,0.4214374355209645
deberta,30,adamw,2_hidden,5e-06,0.41064172030459617
deberta,40,adamw,2_hidden,5e-06,0.40912688880505543
electra_small_discriminator,10,adamw,2_hidden,1e-05,0.380585662818403
electra_small_discriminator,20,adamw,2_hidden,1e-05,0.36655767419859614
electra_small_discriminator,30,adamw,2_hidden,1e-05,0.3598937306996427
electra_small_discriminator,40,adamw,2_hidden,1e-05,0.3510618018052523
distilbert,10,adamw,1_hidden,1.5e-05,0.29771791407080184
distilbert,20,adamw,1_hidden,1.5e-05,0.26953488686326155
distilbert,30,adamw,1_hidden,1.5e-05,0.26147583180295775
distilbert,40,adamw,1_hidden,1.5e-05,0.25739131293148737
roberta,10,adamw,2_hidden,8e-06,0.4339073533367265
roberta,20,adamw,2_hidden,8e-06,0.40579018226993857
roberta,30,adamw,2_hidden,8e-06,0.3915674352555658
roberta,40,adamw,2_hidden,8e-06,0.37428837714401814
bert,10,adamw,2_hidden,1e-05,0.31521439950889857
bert,20,adamw,2_hidden,1e-05,0.2840108900624551
bert,30,adamw,2_hidden,1e-05,0.27646552212925196
bert,40,adamw,2_hidden,1e-05,0.2730670968412824
albert,10,adamw,2_hidden,2e-05,0.3331810336847768
albert,20,adamw,2_hidden,2e-05,0.32462725747135585
albert,30,adamw,2_hidden,2e-05,0.3177067081449798
albert,40,adamw,2_hidden,2e-05,0.31380962015427105
modern_bert,10,adamw,2_hidden,8e-06,0.38596409277714366
modern_bert,20,adamw,2_hidden,8e-06,0.36413388407647235
modern_bert,30,adamw,2_hidden,8e-06,0.3454686134882536
