model,epochs,optimizer,hidden_layers,learning_rate,train_loss
deberta,10,adamw,2_hidden,8e-06,0.3379972634393954
deberta,20,adamw,2_hidden,8e-06,0.31316608213242103
deberta,30,adamw,2_hidden,8e-06,0.30586379274609204
deberta,40,adamw,2_hidden,8e-06,0.29886320153763196
electra_small_discriminator,10,adamw,2_hidden,1e-05,0.31993352042482864
electra_small_discriminator,20,adamw,2_hidden,1e-05,0.313021875837114
electra_small_discriminator,30,adamw,2_hidden,1e-05,0.31141476836293047
electra_small_discriminator,40,adamw,2_hidden,1e-05,0.30736183355668906
distilbert,10,adamw,1_hidden,1.5e-05,0.21974069062305815
distilbert,20,adamw,1_hidden,1.5e-05,0.21485694982347114
distilbert,30,adamw,1_hidden,1.5e-05,0.21354605284883177
distilbert,40,adamw,1_hidden,1.5e-05,0.2112150491010583
roberta,10,adamw,2_hidden,8e-06,0.30949729445392926
roberta,20,adamw,2_hidden,8e-06,0.2927751750201331
roberta,30,adamw,2_hidden,8e-06,0.2851706172701243
roberta,40,adamw,2_hidden,8e-06,0.28325719163603563
bert,10,adamw,2_hidden,1e-05,0.23338639524306432
bert,20,adamw,2_hidden,1e-05,0.22933440825228893
bert,30,adamw,2_hidden,1e-05,0.22674804636029347
bert,40,adamw,2_hidden,1e-05,0.22428987962974176
albert,10,adamw,2_hidden,2e-05,0.2860333769901942
albert,20,adamw,2_hidden,2e-05,0.2775871643407725
albert,30,adamw,2_hidden,2e-05,0.2689551975166975
albert,40,adamw,2_hidden,2e-05,0.2686209425175674
