model,original_epochs,regularized_epochs,lambda_reg,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
bert,5,10,0.0,0.3498226747829087,0.32454271888246344,0.85856,0.862077245006882,0.85856,0.858215674155856
bert,5,10,0.01,0.3307853827671129,0.30853763040231197,0.86716,0.8675849281769726,0.86716,0.8671215981418631
bert,5,10,0.025,0.32135796029956976,0.31079564441223534,0.86532,0.8671271561116993,0.86532,0.8651540577204168
bert,5,10,0.05,0.316911903267004,0.31361195642729195,0.86424,0.866329274910249,0.86424,0.8640461546144617
bert,5,10,0.1,0.3044504889724206,0.31093660498760184,0.86492,0.8657825421559988,0.86492,0.8648403208822218
bert,5,10,0.25,0.31126656732997116,0.32195489884031064,0.86188,0.864067811045936,0.86188,0.8616721849222829
bert,5,10,0.5,0.32950062000629854,0.3142911519627182,0.86692,0.8670475305176594,0.86692,0.8669084393476221
bert,5,10,1,0.37448491034459097,0.314096744267308,0.86692,0.8670475305176594,0.86692,0.8669084393476221
bert,10,10,0.0,0.3427689054182598,0.3257020670844584,0.85552,0.8616852556176524,0.85552,0.8549016665862815
bert,10,10,0.01,0.330175982750192,0.30722105153361146,0.86892,0.8695869382572669,0.86892,0.8688608381932764
bert,10,10,0.025,0.3189333066040156,0.3057619675385709,0.86864,0.8694081324943834,0.86864,0.868571678301248
bert,10,10,0.05,0.31519152695427133,0.3056095347416644,0.86908,0.8691716939793385,0.86908,0.8690718700963306
bert,10,10,0.1,0.31439692207745146,0.3163013672646211,+0.86412,0.8656213312753124,0.86412,0.863980367468397
bert,10,10,0.25,0.35097455674288225,0.32407244842271415,0.8614,0.8638948045568733,0.8614,0.8611620372854257
bert,10,10,0.5,0.410787930293959,0.3246199371559279,0.8622,0.864066408286063,0.8622,0.8620231633670977
bert,10,10,1,0.5634401358511983,0.3240809393476467,0.8622,0.864066408286063,0.8622,0.8620231633670977
