model,original_epochs,regularized_epochs,lambda_reg,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
albert,5,10,0.0,0.2554741223551789,0.2521242593624154,0.89532,0.8954142642299412,0.89532,0.8953137608676456
albert,5,10,0.01,0.2293977071436084,0.25205352780770285,0.89636,0.8963656036583582,0.89636,0.8963596336934893
albert,5,10,0.025,0.2079070850598569,0.2631471795695169,0.89316,0.8931699871467456,0.89316,0.8931593215189554
albert,5,10,0.05,0.1900576296813634,0.2833646741144511,0.88892,0.8900372188653606,0.88892,0.8888403988764185
albert,5,10,0.1,0.1863647091145418,0.2872913923798775,0.88852,0.8885588558855886,0.88852,0.8885172129303232
albert,5,10,0.25,0.20428884515956958,0.30774622334509477,0.88692,0.8877927483658888,0.88692,0.8868563410327485
albert,5,10,0.5,0.2572227835047002,0.3218933164465184,0.88412,0.8841310359310098,0.88412,0.8841191676975101
albert,5,10,1,0.38403503900888014,0.32104004022418237,0.88412,0.8841310359310098,0.88412,0.8841191676975101
albert,10,10,0.0,0.24455845112703284,0.2527724081764416,0.89532,0.8953647590862301,0.89532,0.8953170372209142
albert,10,10,0.01,0.2198190921727492,0.25623907361711773,0.8942,0.8944137558480574,0.8942,0.8941856632578405
albert,10,10,0.025,0.1990618292166262,0.26976871490478516,0.89032,0.8915129556363423,0.89032,0.8902363864697571
albert,10,10,0.05,0.18288742507598837,0.2985552485500063,0.87952,0.8838261635382697,0.87952,0.8791811318781364
albert,10,10,0.1,0.17728868583027196,0.32232672493068537,0.87472,0.8810892662455849,0.87472,0.8741943424974093
albert,10,10,0.25,0.21029045417600747,0.30848667694597826,0.88372,0.8841192603196752,0.88372,0.8836897762766003
albert,10,10,0.5,0.27142277359962463,0.31092602242620626,0.88792,0.8879200893767886,0.88792,0.8879199935441915
albert,10,10,1,0.4330646015551625,0.3097307178743032,0.88792,0.8879200893767886,0.88792,0.8879199935441915
