model,original_epochs,regularized_epochs,lambda_reg,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
roberta,5,10,0.01,0.33876292483539,0.25433233760449353,0.90008,0.9000918401578809,0.90008,0.9000792607464028
roberta,5,10,0.025,0.32490786666772803,0.24745815201681487,0.90268,0.902726974074256,0.90268,0.9026771620660459
roberta,5,10,0.05,0.3261629324786517,0.2449518265772839,0.90164,0.901735771236754,0.90164,0.9016341375519836
roberta,5,10,0.1,0.32745255970833254,0.2441396340727806,0.90316,0.9033074388749822,0.90316,0.9031511486348178
roberta,5,10,0.25,0.338651284271357,0.24125713581333355,0.90436,0.9043954289217696,0.90436,0.9043579052085831
roberta,5,10,0.5,0.36172141378023187,0.2395748041418134,0.90472,0.9049089143030572,0.90472,0.904708885244375
roberta,5,10,1,0.3939501241761811,0.23984080172923147,0.90472,0.9049089143030572,0.90472,0.904708885244375
roberta,10,10,0.01,0.33907576057375693,0.24966868986280596,0.9014,0.9014540196528844,0.9014,0.9013966829844156
roberta,10,10,0.025,0.3472764698826537,0.24786869877455187,0.9024,0.9025459315951955,0.9024,0.9023911536712137
roberta,10,10,0.05,0.3577001867245655,0.2420982444772915,0.90336,0.9033757064819086,0.90336,0.9033590592584264
roberta,10,10,0.1,0.3925508315465888,0.24146650260200306,0.90424,0.9045084227283339,0.90424,0.9042241113164123
roberta,10,10,0.25,0.5115405503584414,0.24217394055152425,0.90464,0.9047676708472963,0.90464,0.9046324798514191
roberta,10,10,0.5,0.6949642857118529,0.239404629535821,0.9048,0.9053928049257002,0.9048,0.9047651845894972
roberta,10,10,1,1.1558461371733217,0.23987814457136758,0.9048,0.9053928049257002,0.9048,0.9047651845894972
