model,epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
roberta,10,0.5531539261455499,0.5433466160861788,0.81452,0.814520018116353,0.81452,0.814519997329088
roberta,20,0.45688894154624304,0.4100195822602118,0.82588,0.8260741314949268,0.82588,0.8258540801212853
roberta,40,0.42640780105052356,0.3766196649342832,0.83416,0.834721569607316,0.83416,0.8340904124753407
roberta,60,0.4207021311945589,0.3668888051155776,0.83704,0.8373684079029892,0.83704,0.8370003324008931
roberta,80,0.4146779594241009,0.3639510649322548,0.83888,0.8397706884735922,0.83888,0.838774339150906
roberta,100,0.411162273249257,0.36104841891292455,0.83956,0.8404330096781756,0.83956,0.8394570755458294
distilbert,10,0.4169428029686918,0.39682868835221324,0.82152,0.8216006914144398,0.82152,0.8215088038898363
distilbert,20,0.4079635545935527,0.3883352976194651,0.82556,0.8255925592559256,0.82556,0.8255556388909723
distilbert,40,0.39678067043280646,0.3799584656655884,0.82956,0.8295602552114616,0.82956,0.8295599670028095
distilbert,60,0.3929582559816439,0.3752706097838155,0.83264,0.8326410303888557,0.83264,0.8326398703963155
distilbert,80,0.38652848269759427,0.37302540685631147,0.83352,0.8335262243998103,0.83352,0.8335192232672882
distilbert,100,0.38334201992282635,0.37246669346010236,0.83336,0.8334080107535485,0.83336,0.8333540007440269
