model,epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
bert,10,0.45183583761321683,0.42101954076241316,0.80736,0.8074371376994968,0.80736,0.8073479156282949
bert,20,0.4383273336533469,0.4105529414557793,0.81136,0.8113617934439302,0.81136,0.8113597283580087
bert,40,0.4342975325010102,0.40247337901708563,0.81644,0.8164452676745039,0.81644,0.816439236093525
bert,60,0.43279975634104,0.3980056893125758,0.81664,0.8166556939628418,0.81664,0.816637728068106
bert,80,0.42329805228985506,0.3951168069669587,0.82004,0.8200818902692742,0.82004,0.8200341118040838
bert,100,0.4208512697762125,0.39283575020940237,0.82076,0.8207628103954396,0.82076,0.8207596073918441
albert,10,0.42660747110004693,0.416725447576586,0.80856,0.8090080884265172,0.80856,0.8084905736963612
albert,20,0.4139541162419838,0.4088709450381083,0.813,0.8132700417834098,0.813,0.8129596923648078
albert,40,0.39571794335058846,0.40539682559521245,0.81424,0.8145556951416918,0.81424,0.8141933800785447
albert,60,0.3721613329587956,0.4074779740252883,0.8122,0.8123835495763396,0.8122,0.812172409178743
albert,80,0.3488916137344511,0.416762624956043,0.81152,0.811895983871604,0.81152,0.8114631807341928
albert,100,0.3262945632101707,0.4344878610073376,0.80592,0.8061131618131336,0.80592,0.8058893783506366
