model,epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
electra_small_discriminator,10,0.6058155273080177,0.5625947155534764,0.71464,0.7146896018856196,0.71464,0.7146235166543219
electra_small_discriminator,20,0.6002477199372733,0.5546051568311193,0.7218,0.7218465146474647,0.7218,0.7217854166592563
electra_small_discriminator,40,0.5962792045015204,0.5479001444395241,0.72512,0.7251407489714251,0.72512,0.7251136666188788
electra_small_discriminator,60,0.5956427045261768,0.5465891086079581,0.72616,0.7261639139022286,0.72616,0.7261588152534983
electra_small_discriminator,80,0.5884981052497463,0.544452704279624,0.7276,0.7276134251860897,0.7276,0.7275959832393305
electra_small_discriminator,100,0.5862754032663677,0.5416000239227129,0.7298,0.7298536658661405,0.7298,0.7297842276134521
modern_bert,10,0.5345358332608345,0.5202139388252662,0.7474,0.7474589926401077,0.7474,0.7473849445468791
modern_bert,20,0.4994267724258962,0.4834272196934685,0.76484,0.7649005600826029,0.76484,0.764826558991222
modern_bert,40,0.47818222607623595,0.46085351598058766,0.77992,0.7799379160266258,0.77992,0.7799164786636587
modern_bert,60,0.4717840448794118,0.45116796690591693,0.785,0.785014448636465,0.785,0.7849972751414662
modern_bert,80,0.46418135359130147,0.4461379490306533,0.78812,0.788121550785435,0.78812,0.7881197148938884
modern_bert,100,0.4596045238233421,0.4419523936982957,0.7904,0.7906383960280867,0.7904,0.7903570101053491
