model,epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
albert,10,0.2691748679465997,0.25516357388101896,0.895,0.8951168913811463,0.895,0.894992233625599
albert,20,0.25201528898356285,0.24770162739598514,0.89668,0.8967235723086361,0.89668,0.8966771630028708
albert,40,0.21890696750683275,0.24510428209992285,0.89812,0.8981200636992103,0.89812,0.8981199959247999
albert,60,0.19017967078161455,0.2558988410665493,0.898,0.89800917013128,0.898,0.8979994124766159
albert,80,0.1632820176704288,0.28556685170494805,0.893,0.8930824177477621,0.893,0.8929943910227908
albert,100,0.12910989620083774,0.31975878036400135,0.89296,0.8929610059801752,0.89296,0.8929599314943562
bert,10,0.3700733081779073,0.3323643046800078,0.85732,0.857641877689921,0.85732,0.8572878897751994
bert,20,0.3627841033456193,0.32232813679292005,0.86228,0.8624929927627042,0.86228,0.862259766731078
bert,40,0.3512070207109988,0.31472853569269793,0.86404,0.8645358177056937,0.86404,0.8639937533063142
bert,60,0.34371945576090424,0.30758824211712726,0.8672,0.8674116290983607,0.8672,0.8671808740458626
bert,80,0.33587416217341226,0.30622592470558,0.86848,0.868590060402292,0.86848,0.8684701813516498
bert,100,0.3291508261131043,0.30326168140621707,0.87012,0.8701266539889347,0.87012,0.8701194162647045
