model,epochs,train_loss,test_loss,accuracy,precision,recall,f1
roberta,5,0.37956605777334984,0.3112720626375407,0.87988,0.8815501003428955,0.87988,0.8797484103208357
roberta,10,0.3467341523398371,0.26753563460324653,0.89608,0.8961189806428567,0.89608,0.8960774433388299
albert,5,0.28095049017568685,0.2589164071089929,0.89344,0.8935427719633101,0.89344,0.8934330426269942
albert,10,0.27030798302167824,0.25769816545764807,0.89316,0.8943442315009668,0.89316,0.8930797285369964
distilbert,5,0.3504245949389837,0.31915737795726873,0.8642,0.8643974882797121,0.8642,0.8641815980190428
distilbert,10,0.34519439169665433,0.31100053872074696,0.86756,0.8676627832194165,0.86756,0.8675507431744202
bert,5,0.36804195830736625,0.3232581989977823,0.8606,0.8606895872140172,0.8606,0.86059134350312
bert,10,0.3594817809779626,0.3156158481117176,0.864,0.864354677417185,0.864,0.8639668949835632
electra_small_discriminator,5,0.5616719729988776,0.5337369225519087,0.7252,0.7476820061350666,0.7252,0.7188193331359191
electra_small_discriminator,10,0.5559659198574398,0.5017826977326437,0.75472,0.7590714047658723,0.75472,0.7536857164708899
t5,5,0.6047769295208899,0.5848364994653961,0.68828,0.6898787597132001,0.68828,0.6876224532609795
t5,10,0.5894663603333257,0.5672447815575563,0.70272,0.7048209795449054,0.70272,0.7019556923161502
