model,epoch,train_loss,val_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
albert,1,0.3880737218660227,0,,,,,
albert,2,0.3004306084473432,0,,,,,
albert,3,0.28574510881473486,0,,,,,
albert,4,0.28363838981329365,0.2576131942686139,,,,,
albert,5,0.27397125242581866,0,,,,,
albert,6,0.27561053102663213,0,,,,,
albert,7,0.2678337687494201,0,,,,,
albert,8,0.2657922166146419,0.2529817192480969,,,,,
albert,9,0.25934047382074676,0,,,,,
albert,10,0.2608902702395228,0,,,,,
albert,11,0.2573369160385103,0,,,,,
albert,12,0.257648897262544,0.25046090338133653,,,,,
albert,13,0.25832942993959895,0,,,,,
albert,14,0.25408256293816095,0,,,,,
albert,15,0.2559740585289891,0,,,,,
albert,16,0.255039521338691,0.24966412719031672,,,,,
albert,17,0.255292402073903,0,,,,,
albert,18,0.25333629641860667,0,,,,,
albert,19,0.2535161569128224,0,,,,,
albert,20,0.25351199854263035,0.24943814982236462,,,,,
albert,final_test,,,0.24943814982236462,0.8978,0.8979682265817441,0.8978,0.8977891985260376
bert,1,0.45753127089579443,0,,,,,
bert,2,0.37703126284245564,0,,,,,
bert,3,0.3673868792051698,0,,,,,
bert,4,0.3651282388766988,0.32281148255166914,,,,,
bert,5,0.3569752952120888,0,,,,,
bert,6,0.3556811613574748,0,,,,,
bert,7,0.34997821117793604,0,,,,,
bert,8,0.3494106479279902,0.3148926273262413,,,,,
bert,9,0.3504248471574301,0,,,,,
bert,10,0.3493479013786206,0,,,,,
bert,11,0.34683866636804944,0,,,,,
bert,12,0.3460369587936084,0.3143097312348732,,,,,
bert,13,0.3472564108479084,0,,,,,
bert,14,0.3407628858582339,0,,,,,
bert,15,0.3454054147100418,0,,,,,
bert,16,0.3440382302698804,0.3123141503401258,,,,,
bert,17,0.3452926412873061,0,,,,,
bert,18,0.3419235013473019,0,,,,,
bert,19,0.34598937815845354,0,,,,,
bert,20,0.3454292391522794,0.3119174578940342,,,,,
bert,final_test,,,0.3119174578940342,0.86496,0.8652053619076584,0.86496,0.8649373146552692
