model,epochs,final_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1
roberta,10,0.5588990492997685,0.5497195628005117,0.83668,0.836770577814609,0.83668,0.836669017624745
roberta,20,0.42754689197431983,0.3750193734639589,0.86092,0.8609316445210882,0.86092,0.8609188782273043
roberta,40,0.365043473392439,0.2845715783400579,0.8848,0.8848569070974822,0.8848,0.8847957413132916
roberta,60,0.3450788284627505,0.26195117699486453,0.89456,0.8945786771449353,0.89456,0.8945587522504505
roberta,80,0.3405895510203398,0.25436218221262524,0.89824,0.8982665188151153,0.89824,0.8982383060341375
roberta,100,0.33431339045117775,0.25014057798193134,0.90012,0.9002384065301879,0.90012,0.9001126123288079
distilbert,10,0.35578410438502056,0.3291045842568318,0.85968,0.8597109777338648,0.85968,0.859676978901485
distilbert,20,0.34616388748766364,0.31781417347362084,0.8648,0.8648021012601033,0.8648,0.8647998053117197
distilbert,40,0.33946121938321655,0.30974512465443566,0.86812,0.8681325553816809,0.86812,0.8681188755287803
distilbert,60,0.33435433418016286,0.30533749998206905,0.86984,0.8698424237993087,0.86984,0.8698397867455065
distilbert,80,0.3294663268283858,0.3019303760037865,0.87208,0.8720891539885307,0.87208,0.8720792132359931
distilbert,100,0.3232049546034688,0.29889442240527364,0.87312,0.8731310422908131,0.87312,0.873119061284063
