model,epochs,train_loss,test_loss,accuracy,precision,recall,f1
electra_small_discriminator,5,0.5597349324824332,0.5101495889883657,0.74804,0.753062577101854,0.74804,0.7467835924496012
electra_small_discriminator,10,0.5553725095261997,0.5083113933221621,0.74848,0.7530288119036536,0.74848,0.7473444747091047
roberta,5,0.3628514425844545,0.28243260232520767,0.89084,0.8908526098432398,0.89084,0.8908391195520026
roberta,10,0.33714114437004883,0.2582549993586336,0.8986,0.8988532877918792,0.8986,0.8985838991798338
distilbert,5,0.35136115638466503,0.32038951759308254,0.86156,0.863700727351239,0.86156,0.8613559867764392
distilbert,10,0.34054813437731085,0.3177922456400136,0.8644,0.8661249793876862,0.8644,0.8642400935107187
bert,5,0.3616944769980125,0.3233593053822611,0.85996,0.8601075207827057,0.85996,0.8599456564184348
bert,10,0.35469043012219825,0.324233791508467,0.85956,0.8626888054872395,0.85956,0.8592564621274997
albert,5,0.2811907353040525,0.25692854583399255,0.89408,0.894129439596903,0.89408,0.8940766782446298
albert,10,0.2663260105072556,0.2536589152400721,0.89468,0.8947946332013677,0.89468,0.894672354224062
